"2022,8422.90.90.000P,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  MAQUINAS PARA LAVAR VAJILLA; MAQUINAS Y APARATOS PARA LIMPIAR O SECAR BOTELLAS O DEMAS RECIPIENTES; MAQUINAS Y APARATOS PARA LLENAR, CERRAR, TAPAR, TAPONAR O ETIQUETAR BOTELLAS, BOTES O LATAS, CAJAS, SACOS (BOLSAS) O DEMAS CONTINENTES; MAQUINAS Y APARATOS PARA CAPSULAR BOTELLAS, TARROS, TUBOS Y CONTINENTES ANALOGOS; LAS DEMAS MAQUINAS Y APARATOS PARA EMPAQUETAR O ENVOLVER MERCANCIAS (INCLUIDAS LAS DE ENVOLVER CON PELICULA TERMORRETRACTIL);" MAQUINAS Y APARATOS PARA GASEAR BEBIDAS.    -Partes.       Las demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;
"2022,4202.12.10.000H,""CAPITULO 42 MANUFACTURAS DE CUERO"; ARTICULOS  DE GUARNICIONERIA O DE TALABARTERIA;ARTICULOS DE VIAJE, BOLSOS DE MANO (CARTERAS)  Y CONTINENTES SIMILARES; MANUFACTURAS DE TRIPA  BAULES, MALETAS (VALIJAS), MALETINES, INCLUIDOS LOS DE ASEO Y LOS PORTADOCUMENTOS, PORTAFOLIOS (CARTERAS DE MANO),CARTAPACIOS, FUNDAS Y ESTUCHES PARA GAFAS (ANTEOJOS), BINOCULARES, CAMARAS FOTOGRAFICAS O CINEMATOGRAFICAS, INSTRUMENTOS MUSICALES O ARMAS Y CONTINENTES SIMILARES;" SACOS DE VIAJE, SACOS (BOLSAS)* AISLANTES PARA ALIMENTOS Y BEBIDAS, BOLSAS DE ASEO, MOCHILAS, BOLSOS DE MANO(CARTERAS), BOLSAS PARA LA COMPRA, BILLETERAS, PORTAMONEDAS, PORTAMAPAS, PETACAS, PITILLERAS Y BOLSAS PARA TABACO, BOLSAS PARA HERRAMIENTAS Y PARA ARTICULOS DE DEPORTE, ESTUCHES PARA FRASCOS Y BOTELLAS, ESTUCHES PARA JOYAS, POLVERAS, ESTUCHES PARA ORFEBRERIA Y CONTINENTES SIMILARES, DE CUERO NATURAL O DE CUERO REGENERADO, HOJAS DE PLASTICO, MATERIA TEXTIL, FIBRA VULCANIZADA O CARTON, O RECUBIERTOS TOTALMENTE O EN SU MAYOR PARTE CON ESTAS MATERIAS O PAPEL. -BaÃ‚Â¿les, maletas (valijas) y maletines,  incluidos los de aseo y porta documentos, portafolios (carteras de mano), cartapacios y continentes similares  -BaÃ‚Â¿les, maletas (valijas) y maletines,  incluidos los de aseo y porta documentos, portafolios (carteras de mano), cartapacios y continentes similares --Con la superficie exterior de plÃ‚Â¿stico o  materia textil.       De plÃ‚Â¿stico.""";;;;;;;;;;;;;;;;;;;;;;
"2022,8205.10.00.000P,""CAPITULO 82  HERRAMIENTAS Y UTLES, ARTICULOS DE CUCHILLERIAY CUBIERTOS DE MESA, DE METALES COMUNES"; PARTESDE ESTOS ARTICULOS, DE METALES COMUNES  HERRAMIENTAS DE MANO (INCLUIDOS LOS DIAMANTESPARA VIDRIERO) NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE; LAMPARAS DE SOLDAR Y SIMILARES;TORNILLOS DE BANCO, PRENSAS DE CARPINTERO YSIMILARES, EXCEPTO LOS QUE SEAN ACCESORIOS OPARTES DE MAQUINAS HERRAMIENTA; YUNQUES;FRAGUAS PORTATILES;" MUELAS DE MANO O A PEDAL,CON BASTIDOR.        -Herramientas de taladrar o roscar (incluÃ‚Â¿das las terrajas).""";;;;;;;;;;;;;;;;;;;;
"2022,4015.19.00.900U,""CAPITULO 40CAUCHO Y MANUFACTURAS DE CAUCHO.  PRENDAS DE VESTIR, GUANTES MITONES Y MANOPLAS DEMAS COMPLEMENTOS (ACCESORIOS) DE VESTIR, PARA CUALQUIER USO, DE CAUCHO VULCANIZADO SIN ENDURECER. -Guantes, mitones y manoplas:  -Guantes, mitones y manoplas:   -- Los demas  Los demas""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8201.10.00.000Q,""CAPITULO 82  HERRAMIENTAS Y UTLES, ARTICULOS DE CUCHILLERIAY CUBIERTOS DE MESA, DE METALES COMUNES"; PARTESDE ESTOS ARTICULOS, DE METALES COMUNES  LAYAS, PALAS, AZADAS, PICOS, BINADERAS, HORCAS DE LABRANZA, RASTRILLOS Y RAEDERAS; HACHAS, HOCINOS Y HERRAMIENTAS SIMILARES CON FILO;TIJERAS DE PODAR DE CUALQUIER TIPO;" HOCES Y GUADAÃ‚Â¿AS, CUCHILLOS PARA HENO O PAJA,CIZALLAS PARA SETOS, CUÃ‚Â¿AS Y DEMAS HERRAMIENTASDE MANO, AGRICOLAS, HORTICOLAS O FORESTALES.        -Layas y palas.""";;;;;;;;;;;;;;;;;;;;;;
"2022,5609.00.90.000M,""CAPITULO 56 GUATA, FIELTRO Y TELAS SIN TEJER"; HILADOS ESPECIALES; CORDELES, CUERDAS Y CORDAJES;"ARTICULOS DE CORDELERIA.      ARTICULOS DE HILADOS, TIRAS O FORMAS SIMILARESDE LAS PARTIDAS NROS. 54.04 O 54.05, CORDELES, CUERDAS O CORDAJES, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE.       Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;
"2022,6307.90.90.900Q,""CAPITULO 63LOS DEMAS ARTICULOS TEXTILES CONFECCIONADOS"; JUEGOS O SURTIDOS;"PRENDERIA Y TRAPOS  LOS DEMAS ARTICULOS CONFECCIONADOS, INCLUIDOS LOSPATRONES PARA PRENDAS DE VESTIR.    -Los demÃ‚Â¿s  --- Los demÃ‚Â¿s  Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8413.20.00.000A,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  BOMBAS PARA LIQUIDOS, INCLUSO CON DISPOSITIVOMEDIDOR INCORPORADO;"ELEVADORES DE LIQUIDOS.        -Bombas manuales, excepto las de las subpartidas8413.11 u 8413.19.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8716.90.90.000M,""CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  REMOLQUES Y SEMIRREMOLQUES PARA CUALQUIER VEHICULO"; LOS DEMAS VEHICULOS NO AUTOMOVILES;"SUS PARTES.    -Partes.       Las demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,6216.00.00.000X,""CAPITULO 62  PRENDAS Y COMPLEMENTOS (ACCESORIOS) DE VESTIR,  EXCEPTO LOS DE PUNTO          GUANTES, MITONES Y MANOPLAS.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6804.22.19.000J,""CAPITULO 68  MANUFACTURAS DE PIEDRA, YESO, CEMENTO, AMIANTO,  MICA O MATERIAS ANALOGAS.  MUELAS Y ARTICULOS SIMILARES, SIN BASTIDOR, DE MOLER, DESFIBRAR, TRITURAR, AFILAR,PULIR, RECTIFICAR, CORTAR O TROCEAR, PIEDRASDE AFILAR O PULIR A MANO, Y SUS PARTES, DE PIEDRANATURAL, DE ABRASIVOS NATURALES O ARTIFICIALES AGLOMERADOS O DE CERAMICA, INCLUSO CON PARTES DEOTRAS MATERIAS. -Las demÃ‚Â¿s muelas y artÃ‚Â¿culos similares:  -Las demÃ‚Â¿s muelas y artÃ‚Â¿culos similares: --De los demÃ‚Â¿s abrasivos aglomerados o de   cerÃ‚Â¿mica    De diÃ‚Â¿metro inferior a 53,34 cm.       Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8205.40.00.000G,""CAPITULO 82  HERRAMIENTAS Y UTLES, ARTICULOS DE CUCHILLERIAY CUBIERTOS DE MESA, DE METALES COMUNES"; PARTESDE ESTOS ARTICULOS, DE METALES COMUNES  HERRAMIENTAS DE MANO (INCLUIDOS LOS DIAMANTESPARA VIDRIERO) NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE; LAMPARAS DE SOLDAR Y SIMILARES;TORNILLOS DE BANCO, PRENSAS DE CARPINTERO YSIMILARES, EXCEPTO LOS QUE SEAN ACCESORIOS OPARTES DE MAQUINAS HERRAMIENTA; YUNQUES;FRAGUAS PORTATILES;" MUELAS DE MANO O A PEDAL,CON BASTIDOR.        -Destornilladores.""";;;;;;;;;;;;;;;;;;;;
"2022,9030.33.19.000X,""CAPITULO 90  INSTRUMENTOS Y APARATOS DE OPTICA, DEFOTOGRAFIA O DE CINEMATOGRAFIA, DE MEDIDA, DE  CONTROL O DE PRECISION"; INSTRUMENTOS Y APARATOS MEDICOQUIRURGICOS; PARTES Y ACCESORIOS DE ESTOSINSTRUMENTOS O APARATOS  OSCILOSCOPIOS, ANALIZADORES DE ESPECTRO Y DEMASINSTRUMENTOS Y APARATOS PARA MEDIDA O CONTROL DE MAGNITUDES ELECTRICAS;" INSTRUMENTOS Y APARATOS PARA MEDIDA O DETECCION DE RADIACIONES ALFA, BETA, GAMMA, X, COSMICAS O DEMAS RADIACIONES IONIZANTES. - Los demÃ‚Â¿s instrumentos y aparatos para medida o control de tensiÃ‚Â¿n, intensidad,  resistencia o potencia:  - Los demÃ‚Â¿s instrumentos y aparatos para medida o control de tensiÃ‚Â¿n, intensidad,  resistencia o potencia: - - Los demÃ‚Â¿s, sin dispositivo registrador       VoltÃ‚Â¿metros           Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;
"2022,9017.80.10.000B,""CAPITULO 90  INSTRUMENTOS Y APARATOS DE OPTICA, DEFOTOGRAFIA O DE CINEMATOGRAFIA, DE MEDIDA, DE  CONTROL O DE PRECISION"; INSTRUMENTOS Y APARATOS MEDICOQUIRURGICOS; PARTES Y ACCESORIOS DE ESTOSINSTRUMENTOS O APARATOS  INSTRUMENTOS DE DIBUJO, TRAZADO O CALCULO (POR EJEMPLO: MAQUINAS PARA DIBUJAR, PANTOGRAFOS,TRANSPORTADORES, ESTUCHES DE DIBUJO, REGLAS YCIRCULOS, DE CALCULO);" INSTRUMENTOS MANUALES DE MEDIDA DE LONGITUD (POR EJEMPLO: METROS, MICROMETROS, CALIBRADORES), NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE DE ESTE CAPITULO.    -Los demÃ‚Â¿s instrumentos.       Metros.""";;;;;;;;;;;;;;;;;;;;;;;
"2022,8203.10.10.000M,""CAPITULO 82  HERRAMIENTAS Y UTLES, ARTICULOS DE CUCHILLERIAY CUBIERTOS DE MESA, DE METALES COMUNES";" PARTESDE ESTOS ARTICULOS, DE METALES COMUNES  LIMAS, ESCOFINAS, ALICATES (INCLUSO CORTANTES),TENAZAS, PINZAS, CIZALLAS PARA METALES, CORTATUBOS, CORTAPERNOS, SACABOCADOS YHERRAMIENTAS SIMILARES, DE MANO.    -Limas, escofinas y herramientas similares.       Limas y escofinas.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6506.10.00.000K,""CAPITULO 65 TOCADOS Y SUS PARTES  LOS DEMAS SOMBREROS Y TOCADOS, INCLUSO GUARNECIDOS.        -Cascos de seguridad.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,9030.31.00.000V,""CAPITULO 90  INSTRUMENTOS Y APARATOS DE OPTICA, DEFOTOGRAFIA O DE CINEMATOGRAFIA, DE MEDIDA, DE  CONTROL O DE PRECISION"; INSTRUMENTOS Y APARATOS MEDICOQUIRURGICOS; PARTES Y ACCESORIOS DE ESTOSINSTRUMENTOS O APARATOS  OSCILOSCOPIOS, ANALIZADORES DE ESPECTRO Y DEMASINSTRUMENTOS Y APARATOS PARA MEDIDA O CONTROL DE MAGNITUDES ELECTRICAS;" INSTRUMENTOS Y APARATOS PARA MEDIDA O DETECCION DE RADIACIONES ALFA, BETA, GAMMA, X, COSMICAS O DEMAS RADIACIONES IONIZANTES. - Los demÃ‚Â¿s instrumentos y aparatos para medida o control de tensiÃ‚Â¿n, intensidad,  resistencia o potencia:  - Los demÃ‚Â¿s instrumentos y aparatos para medida o control de tensiÃ‚Â¿n, intensidad,  resistencia o potencia:   --Multimetros  - - MultÃ‚Â¿metros, sin dispositivo registrador""";;;;;;;;;;;;;;;;;;;;;;;
"2022,7009.92.00.000D,""CAPITULO 70VIDRIO Y MANUFACTURAS DE VIDRIO  ESPEJOS DE VIDRIO, ENMARCADOS O NO, INCLUIDOS LOSESPEJOS RETROVISORES. -Los demÃ‚Â¿s  -Los demÃ‚Â¿s     --Enmarcados.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8425.42.00.000K,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  POLIPASTOS; TORNOS Y CABRESTANTES;" GATOS. -Gatos.  -Gatos.   --Los demÃ‚Â¿s gatos hidrÃ‚Â¿ulicos.  Los demÃ‚Â¿s gatos hidrÃ‚Â¿ulicos.""";;;;;;;;;;;;;;;;;;;;;;;
"2022,8204.20.00.000K,""CAPITULO 82  HERRAMIENTAS Y UTLES, ARTICULOS DE CUCHILLERIAY CUBIERTOS DE MESA, DE METALES COMUNES"; PARTESDE ESTOS ARTICULOS, DE METALES COMUNES  LLAVES DE AJUSTE DE MANO (INCLUIDAS LAS LLAVESDINAMOMETRICAS);" CUBOS DE AJUSTE INTERCAMBIABLES,INCLUSO CON MANGO.        -Cubos de ajuste intercambiables, incluso con mango.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8201.40.00.000H,""CAPITULO 82  HERRAMIENTAS Y UTLES, ARTICULOS DE CUCHILLERIAY CUBIERTOS DE MESA, DE METALES COMUNES"; PARTESDE ESTOS ARTICULOS, DE METALES COMUNES  LAYAS, PALAS, AZADAS, PICOS, BINADERAS, HORCAS DE LABRANZA, RASTRILLOS Y RAEDERAS; HACHAS, HOCINOS Y HERRAMIENTAS SIMILARES CON FILO;TIJERAS DE PODAR DE CUALQUIER TIPO;" HOCES Y GUADAÃ‚Â¿AS, CUCHILLOS PARA HENO O PAJA,CIZALLAS PARA SETOS, CUÃ‚Â¿AS Y DEMAS HERRAMIENTASDE MANO, AGRICOLAS, HORTICOLAS O FORESTALES.        -Hachas, hocinos y herramientas similares con filo.""";;;;;;;;;;;;;;;;;;;;;;
"2022,4811.41.90.000H,""CAPITULO 48 PAPEL Y CARTON";" MANUFACTURAS DE PASTA DECELULOSA, DE PAPEL O DE CARTON  PAPEL, CARTÃ‚Â¿N, GUATA DE CELULOSA Y NAPA DE FIBRAS DE CELULOSA, ESTUCADOS, RECUBIERTOS, IMPREGNADOS O REVESTIDOS, COLOREADOS O DECORADOS EN LA SUPERFICIE O IMPRESOS, EN BOBINAS (ROLLOS) O EN HOJAS DE FORMA CUADRADA ORECTANGULAR, DE CUALQUIER TAMAÃ‚Â¿O, EXCEPTO LOS PRODUCTOS DE LOS TIPOSDESCRITOS EN EL TEXTO DE LAS PARTIDAS 48.03, 48.09 Ã‚Â¿ 48.10. -Papel y cartÃ‚Â¿n engomados o adhesivos:  -Papel y cartÃ‚Â¿n engomados o adhesivos: --Autoadhesivos       Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,4804.29.00.000X,""CAPITULO 48 PAPEL Y CARTON";" MANUFACTURAS DE PASTA DECELULOSA, DE PAPEL O DE CARTON  PAPEL Y CARTON KRAFT, SIN ESTUCAR NI RECUBRIR,EN BOBINAS (ROLLOS) O EN HOJAS, EXCEPTO LOS DELAS PARTIDAS 4802 O 4803. -Papel Kraft para sacos (bolsas) de gran capacidad:  -Papel Kraft para sacos (bolsas) de gran capacidad:     --Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8517.62.49.000U,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES"; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  TELÃ‚Â¿FONOS, INCLUIDOS LOS TELÃ‚Â¿FONOS CELULARES (MÃ‚Â¿VILES)* Y LOS DE OTRAS REDES INALÃ‚Â¿MBRICAS;" LOS DEMÃ‚Â¿S APARATOS DE TRANSMISIÃ‚Â¿N O RECEPCIÃ‚Â¿N DE VOZ, IMAGEN U OTROS DATOS, INCLUIDOS LOS DE COMUNICACIÃ‚Â¿N EN RED CON O SIN 84.43, 85.25, 85.27 U 85.28 - Los demÃ‚Â¿s aparatos de transmisiÃ‚Â¿n o recepciÃ‚Â¿n de voz, imagen u otros datos, incluidos los de comunicaciÃ‚Â¿n en red con o sin cable (tales como redes locales (LAN) o extendidas (WAN))  - Los demÃ‚Â¿s aparatos de transmisiÃ‚Â¿n o recepciÃ‚Â¿n de voz, imagen u otros datos, incluidos los de comunicaciÃ‚Â¿n en red con o sin cable (tales como redes locales (LAN) o extendidas (WAN)) - - Aparatos para la recepciÃ‚Â¿n, conversiÃ‚Â¿n y transmisiÃ‚Â¿n o regeneraciÃ‚Â¿n de voz, imagen u otros datos, incluidos los de conmutaciÃ‚Â¿n o encaminamiento (Ã‚Â¿switching and routing apparatusÃ‚Â¿)    Ruteadores digitales en redes con o sin cable        Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8708.30.19.000J,""CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  PARTES Y ACCESORIOS PARA VEHICULOS AUTOMOVILES DELAS PARTIDAS 87.01 A 87.05. -Frenos y servofrenos, y sus partes  -Frenos y servofrenos, y sus partes -Frenos y servofrenos";" sus partes    Guarniciones para frenos montadas   Las demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,1207.99.90.000Z,""CAPITULO 12 SEMILLAS Y FRUTOS OLEAGINOSOS"; SEMILLAS Y FRUTOS  DIVERSOS; PLANTAS INDUSTRIALES O MEDICINALES;" PAJA Y FORRAJES  LAS DEMAS SEMILLAS Y FRUTOS OLEAGINOSOS, INCLUSOQUEBRANTADOS. -Los demÃ‚Â¿s:  -Los demÃ‚Â¿s: --Los demÃ‚Â¿s.        Los demÃ‚Â¿s        Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;
"2022,8711.30.00.000X,""CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  MOTOCICLOS Y TRICICLOS A MOTOR (INCLUIDOS LOS TAMBIEN A PEDALES) Y VELOCIPEDOS EQUIPADOS CON MOTOR AUXILIAR, CON SIDECAR O SIN EL";" SIDECARES.        -Con motor de Ã‚Â¿mbolo (pistÃ‚Â¿n) alternativo, de cilindrada superior a 250 cm3 pero inferior o igual a 500 cm3""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8701.95.90.000J,""CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  Tractores (excepto las carretillas tractor de la partida 87.09).    -- Superior a 130 kW    Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,2713.20.00.000T,""CAPITULO 27 COMBUSTIBLES MINERALES, ACEITES MINERALES  Y PRODUCTOS DE SU DESTILACION"; MATERIAS BITUMINOSAS;" CERAS MINERALES.  COQUE DE PETROLEO, BETUN DE PETROLEO Y DEMAS RESIDUOS DE LOS ACEITES DE PETROLEO O DE MINERALES BITUMINOSOS.        -BetÃ‚Â¿n de petrÃ‚Â¿leo.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8413.81.00.000X,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  BOMBAS PARA LIQUIDOS, INCLUSO CON DISPOSITIVOMEDIDOR INCORPORADO;ELEVADORES DE LIQUIDOS. -Las demÃ‚Â¿s bombas; elevadores de lÃ‚Â¿quidos.  -Las demÃ‚Â¿s bombas;" elevadores de lÃ‚Â¿quidos.     --Bombas.""";;;;;;;;;;;;;;;;;;;;;;
"2022,4202.22.20.000G,""CAPITULO 42 MANUFACTURAS DE CUERO"; ARTICULOS  DE GUARNICIONERIA O DE TALABARTERIA;ARTICULOS DE VIAJE, BOLSOS DE MANO (CARTERAS)  Y CONTINENTES SIMILARES; MANUFACTURAS DE TRIPA  BAULES, MALETAS (VALIJAS), MALETINES, INCLUIDOS LOS DE ASEO Y LOS PORTADOCUMENTOS, PORTAFOLIOS (CARTERAS DE MANO),CARTAPACIOS, FUNDAS Y ESTUCHES PARA GAFAS (ANTEOJOS), BINOCULARES, CAMARAS FOTOGRAFICAS O CINEMATOGRAFICAS, INSTRUMENTOS MUSICALES O ARMAS Y CONTINENTES SIMILARES;" SACOS DE VIAJE, SACOS (BOLSAS)* AISLANTES PARA ALIMENTOS Y BEBIDAS, BOLSAS DE ASEO, MOCHILAS, BOLSOS DE MANO(CARTERAS), BOLSAS PARA LA COMPRA, BILLETERAS, PORTAMONEDAS, PORTAMAPAS, PETACAS, PITILLERAS Y BOLSAS PARA TABACO, BOLSAS PARA HERRAMIENTAS Y PARA ARTICULOS DE DEPORTE, ESTUCHES PARA FRASCOS Y BOTELLAS, ESTUCHES PARA JOYAS, POLVERAS, ESTUCHES PARA ORFEBRERIA Y CONTINENTES SIMILARES, DE CUERO NATURAL O DE CUERO REGENERADO, HOJAS DE PLASTICO, MATERIA TEXTIL, FIBRA VULCANIZADA O CARTON, O RECUBIERTOS TOTALMENTE O EN SU MAYOR PARTE CON ESTAS MATERIAS O PAPEL. -Bolsos de mano (carteras), incluso con bandolera o sin asas.  -Bolsos de mano (carteras), incluso con bandolera o sin asas. --Con la superficie exterior de hojas de   plÃ‚Â¿stico o materia textil.       De materia textil""";;;;;;;;;;;;;;;;;;;;;;
2022,4011.40.00.000F,CAPITULO 40CAUCHO Y MANUFACTURAS DE CAUCHO.  NEUMATICOS (LLANTAS NEUMATICAS) NUEVOS DE CAUCHO.        -De los tipos utilizados en motocicletas.;;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,3402.13.00.000P,""CAPITULO 34 JABONES, AGENTES DE SUPERFICIE ORGANICOS,  PREPARACIONES PARA LAVAR, PREPARACIONESLUBRICANTES, CERAS ARTIFICIALES, CERAS PREPARADAS,PRODUCTOS DE LIMPIEZA, VELAS Y ARTICULOS SIMILARES, PASTAS PARA MODELAR, CERAS PARA ODONTOLOGIA Y PREPARACIONES PARA USO EN  ODONTOLOGIA A BASE DE YESO FRAGUABLE.  AGENTES DE SUPERFICIE ORGANICOS (EXCEPTO EL JABÃ‚Â¿N)";" PREPARACIONES TENSOACTIVAS,PREPARACIONES DE LAVAR (INCLUIDAS LASPREPARACIONES AUXILIARES PARA LAVADO) Y PREPARACIONES PARA LIMPIEZA, AUNQUE CONTENGANJABON, EXCEPTO LAS DE LA PARTIDA 34.01. -Agentes de superficie orgÃ‚Â¿nicos, incluso acondicionados para la venta al por menor:  -Agentes de superficie orgÃ‚Â¿nicos, incluso acondicionados para la venta al por menor:     --No ionicos.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,3105.10.00.000P,""CAPITULO 31  ABONOS  ABONOS MINERALES O QUIMICOS, CON DOS O TRES DE LOS ELEMENTOS FERTILIZANTES"; NITROGENO; FOSFORO Y POTASIO; LOS DEMAS ABONOS;" PRODUCTOS DE ESTE CAPITULO EN TABLETAS O FORMAS SIMILARES O EN ENVASES DE UN PESO BRUTO INFERIOR O IGUAL A 10 Kg        -Productos de este CapÃ‚Â¿tulo en tabletas o formas similares o en envases de un peso bruto inferior o igual a 10 Kg.""";;;;;;;;;;;;;;;;;;;;;;
"2022,8309.10.00.000V,""CAPITULO 83 MANUFACTURAS DIVERSAS DE METALES COMUNES.  TAPONES Y TAPAS (INCLUIDAS LAS TAPAS CORONA,TAPAS ROSCADAS Y TAPONES VERTEDORES),CAPSULAS PARA BOTELLAS, TAPONES ROSCADOS, SOBRETAPAS, PRECINTOS Y DEMAS ACCESORIOS PARAENVASES, DE METAL COMUN.      -Tapas corona  -Tapas""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8414.30.91.000D,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  BOMBAS DE AIRE O DE VACIO, COMPRESORES DE AIRE U OTROS GASES Y VENTILADORES;" CAMPANAS ASPIRANTES PARA EXTRACCION O RECICLADO, CON VENTILADOR INCORPORADO, INCLUSO CON FILTRO.    -Compresores de los tipos utilizados en los  equipos frigorÃ‚Â¿ficos.    Los demÃ‚Â¿s.       Con capacidad inferior o igual a    16.000 frigorÃ‚Â¿as/hora.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8481.80.29.000F,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS";" PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  ARTICULOS DE GRIFERIA Y ORGANOS SIMILARES PARATUBERIAS, CALDERAS, DEPOSITOS, CUBAS OCONTINENTES SIMILARES, INCLUIDAS LAS VALVULASREDUCTORAS DE PRESION Y LAS VALVULASTERMOSTATICAS    -Los demÃ‚Â¿s artÃ‚Â¿culos de griferÃ‚Â¿a y Ã‚Â¿rganos similares.    De los tipos utilizados en refrigeraciÃ‚Â¿n.       Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8415.90.90.000Z,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS";" PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  MAQUINAS Y APARATOS PARA ACONDICIONAMIENTO DEAIRE QUE COMPRENDAN UN VENTILADOR CON MOTOR Y LOSDISPOSITIVOS ADECUADOS PARA MODIFICAR LA TEMPERATURA Y LA HUMEDAD, AUNQUE NO REGULEN SEPARADAMENTE EL GRADO HIGROMETRICO.    - Partes    Las demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8501.31.10.000K,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES"; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  MOTORES Y GENERADORES,ELECTRICOS,CON EXCLUSIONDE  LOS GRUPOS ELECTROGENOS. -Los demÃ‚Â¿s motores de corriente continua; generadores de corriente continua:  -Los demÃ‚Â¿s motores de corriente continua;" generadores de corriente continua: --De potencia inferior o igual a 750 W.       Motores""";;;;;;;;;;;;;;;;;;;;;;;
